STN	LON	LAT	STAT	P
209:00:00	4.518	52.465	IJMOND	NA
210:00:00	4.43	52.171	VALKENBURG	NA
215:00:00	4.437	52.141	VOORSCHOTEN	1.2
225:00:00	4.555	52.463	IJMUIDEN	NA
235:00:00	4.781	52.928	"DE KOOY"	1.3
240:00:00	4.79	52.318	SCHIPHOL	1
242:00:00	4.921	53.241	VLIELAND	NA
248:00:00	5.174	52.634	WIJDENES	NA
249:00:00	4.979	52.644	BERKHOUT	1.4
251:00:00	5.346	53.392	"HOORN (TERSCHELLING)"	3
257:00:00	4.603	52.506	"WIJK AAN ZEE"	0.7
258:00:00	5.401	52.649	HOUTRIBDIJK	NA
260:00:00	5.18	52.1	"DE BILT"	1.3
265:00:00	5.274	52.13	SOESTERBERG	NA
267:00:00	5.384	52.898	STAVOREN	1
269:00:00	5.52	52.458	LELYSTAD	1.3
270:00:00	5.752	53.224	LEEUWARDEN	4.6
273:00:00	5.888	52.703	MARKNESSE	2.6
275:00:00	5.873	52.056	DEELEN	        2.9
277:00:00	6.2	53.413	LAUWERSOOG	3.4
278:00:00	6.259	52.435	HEINO	        3
279:00:00	6.574	52.75	HOOGEVEEN	3.8
280:00:00	6.585	53.125	EELDE	        4.1
283:00:00	6.657	52.069	HUPSEL	        3.1
285:00:00	6.399	53.575	HUIBERTGAT	NA
286:00:00	7.15	53.196	"NIEUW BEERTA"	6.1
290:00:00	6.891	52.274	TWENTHE	        4.4
308:00:00	3.379	51.381	CADZAND	        NA
310:00:00	3.596	51.442	VLISSINGEN	0.4
311:00:00	3.672	51.379	HOOFDPLAAT	NA
312:00:00	3.622	51.768	OOSTERSCHELDE	NA
313:00:00	3.242	51.505	"VLAKTE V.D. RAAN"	NA
315:00:00	3.998	51.447	HANSWEERT	NA
316:00:00	3.694	51.657	SCHAAR	        NA
319:00:00	3.861	51.226	WESTDORPE	1.1
323:00:00	3.884	51.527	WILHELMINADORP	0.7
324:00:00	4.006	51.596	STAVENISSE	NA
330:00:00	4.122	51.992	"HOEK VAN HOLLAND"	1.7
331:00:00	4.193	51.48	THOLEN	        NA
340:00:00	4.342	51.449	WOENSDRECHT	1.1
343:00:00	4.313	51.893	"R'DAM-GEULHAVEN"	NA
344:00:00	4.447	51.962	ROTTERDAM	1.1
348:00:00	4.926	51.97	CABAUW	1.1
350:00:00	4.936	51.566	"GILZE-RIJEN"	2
356:00:00	5.146	51.859	HERWIJNEN	0.9
370:00:00	5.377	51.451	EINDHOVEN	1.6
375:00:00	5.707	51.659	VOLKEL	1.4
377:00:00	5.763	51.198	ELL	1.4
380:00:00	5.762	50.906	MAASTRICHT	0.8
391:00:00	6.197	51.498	ARCEN	1.1
