DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = som van de neerslag in tiende millimeters van 08.00 - 08.00 UTC/
           daily precipitation amount in 0.1 mm over the period 08.00 - 08.00 UTC
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
680,20000101,   15,    0, Aalten
680,20000102,    5,    0, Aalten
680,20000103,    1,    0, Aalten
680,20000104,   84,    0, Aalten
680,20000105,   87,    0, Aalten
680,20000106,    0,    0, Aalten
680,20000107,   29,    0, Aalten
680,20000108,    0,    0, Aalten
680,20000109,    9,    0, Aalten
680,20000110,    0,    0, Aalten
680,20000111,    0,    0, Aalten
680,20000112,    0,    0, Aalten
680,20000113,    0,    0, Aalten
680,20000114,    0,    0, Aalten
680,20000115,    0,    0, Aalten
680,20000116,    5,    0, Aalten
680,20000117,    7,    0, Aalten
680,20000118,   11,    0, Aalten
680,20000119,    0,    0, Aalten
680,20000120,    4,    0, Aalten
680,20000121,   23,    0, Aalten
680,20000122,   22,    0, Aalten
680,20000123,   15,    0, Aalten
680,20000124,    0,    0, Aalten
680,20000125,    0,    0, Aalten
680,20000126,    0,    0, Aalten
680,20000127,    0,    0, Aalten
680,20000128,    0,    0, Aalten
680,20000129,   90,    0, Aalten
680,20000130,  115,    0, Aalten
680,20000131,   21,    0, Aalten
680,20000201,   14,    0, Aalten
680,20000202,   56,    0, Aalten
680,20000203,    2,    0, Aalten
680,20000204,    1,    0, Aalten
680,20000205,   50,    0, Aalten
680,20000206,    0,    0, Aalten
680,20000207,   35,    0, Aalten
680,20000208,   30,    0, Aalten
680,20000209,   60,    0, Aalten
680,20000210,    1,    0, Aalten
680,20000211,   75,    0, Aalten
680,20000212,    0,    0, Aalten
680,20000213,   43,    0, Aalten
680,20000214,    0,    0, Aalten
680,20000215,   36,    0, Aalten
680,20000216,   77,    0, Aalten
680,20000217,   43,  997, Aalten
680,20000218,   52,  997, Aalten
680,20000219,   86,    0, Aalten
680,20000220,   30,    0, Aalten
680,20000221,    5,    0, Aalten
680,20000222,    1,    0, Aalten
680,20000223,    0,    0, Aalten
680,20000224,   43,    0, Aalten
680,20000225,  196,    0, Aalten
680,20000226,    0,    0, Aalten
680,20000227,    0,    0, Aalten
680,20000228,    0,    0, Aalten
680,20000229,   68,    0, Aalten
680,20000301,   67,    0, Aalten
680,20000302,   28,    0, Aalten
680,20000303,   96,    0, Aalten
680,20000304,   80,  997, Aalten
680,20000305,   48,  997, Aalten
680,20000306,    0,    0, Aalten
680,20000307,    1,    0, Aalten
680,20000308,   71,    0, Aalten
680,20000309,  127,    0, Aalten
680,20000310,    0,    0, Aalten
680,20000311,   40,    0, Aalten
680,20000312,    6,    0, Aalten
680,20000313,    0,    0, Aalten
680,20000314,   18,    0, Aalten
680,20000315,   65,    0, Aalten
680,20000316,   12,    0, Aalten
680,20000317,    0,    0, Aalten
680,20000318,   15,    0, Aalten
680,20000319,    7,    0, Aalten
680,20000320,    0,    0, Aalten
680,20000321,    0,    0, Aalten
680,20000322,    0,    0, Aalten
680,20000323,    0,    0, Aalten
680,20000324,   15,    0, Aalten
680,20000325,   70,    0, Aalten
680,20000326,   24,    0, Aalten
680,20000327,   19,    0, Aalten
680,20000328,   15,    0, Aalten
680,20000329,   10,    0, Aalten
680,20000330,    0,    0, Aalten
680,20000331,    0,    0, Aalten
