DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = som van de neerslag in tiende millimeters van 08.00 - 08.00 UTC/
           daily precipitation amount in 0.1 mm over the period 08.00 - 08.00 UTC
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
688,20000101,   17,    0, Hupsel
688,20000102,    4,    0, Hupsel
688,20000103,    1,    0, Hupsel
688,20000104,   93,    0, Hupsel
688,20000105,   62,    0, Hupsel
688,20000106,    2,    0, Hupsel
688,20000107,   20,    0, Hupsel
688,20000108,    0,    0, Hupsel
688,20000109,    8,    0, Hupsel
688,20000110,    0,    0, Hupsel
688,20000111,    0,    0, Hupsel
688,20000112,    0,    0, Hupsel
688,20000113,    0,    0, Hupsel
688,20000114,    0,    0, Hupsel
688,20000115,    0,    0, Hupsel
688,20000116,    3,    0, Hupsel
688,20000117,    6,    0, Hupsel
688,20000118,    8,    0, Hupsel
688,20000119,    0,    0, Hupsel
688,20000120,    9,    0, Hupsel
688,20000121,   21,    0, Hupsel
688,20000122,   38,    0, Hupsel
688,20000123,   10,    0, Hupsel
688,20000124,    0,    0, Hupsel
688,20000125,    0,    0, Hupsel
688,20000126,    4,    0, Hupsel
688,20000127,    0,    0, Hupsel
688,20000128,    0,    0, Hupsel
688,20000129,   68,    0, Hupsel
688,20000130,  107,    0, Hupsel
688,20000131,   21,    0, Hupsel
688,20000201,    9,    0, Hupsel
688,20000202,   73,    0, Hupsel
688,20000203,    2,    0, Hupsel
688,20000204,    0,    0, Hupsel
688,20000205,   65,    0, Hupsel
688,20000206,    0,    0, Hupsel
688,20000207,   23,    0, Hupsel
688,20000208,   19,    0, Hupsel
688,20000209,   63,    0, Hupsel
688,20000210,    0,    0, Hupsel
688,20000211,   78,    0, Hupsel
688,20000212,    0,    0, Hupsel
688,20000213,   54,    0, Hupsel
688,20000214,    3,    0, Hupsel
688,20000215,   31,    0, Hupsel
688,20000216,   52,    0, Hupsel
688,20000217,   53,  997, Hupsel
688,20000218,   71,    0, Hupsel
688,20000219,   49,    0, Hupsel
688,20000220,   36,    0, Hupsel
688,20000221,    0,    0, Hupsel
688,20000222,    2,    0, Hupsel
688,20000223,    0,    0, Hupsel
688,20000224,   32,    0, Hupsel
688,20000225,  206,    0, Hupsel
688,20000226,    0,    0, Hupsel
688,20000227,    0,    0, Hupsel
688,20000228,    0,    0, Hupsel
688,20000229,   45,    0, Hupsel
688,20000301,   70,    0, Hupsel
688,20000302,   42,    0, Hupsel
688,20000303,  110,    0, Hupsel
688,20000304,   46,    0, Hupsel
688,20000305,   37,  997, Hupsel
688,20000306,    0,    0, Hupsel
688,20000307,    7,    0, Hupsel
688,20000308,   73,    0, Hupsel
688,20000309,  103,    0, Hupsel
688,20000310,    3,    0, Hupsel
688,20000311,   39,    0, Hupsel
688,20000312,    0,    0, Hupsel
688,20000313,    0,    0, Hupsel
688,20000314,   13,    0, Hupsel
688,20000315,   55,    0, Hupsel
688,20000316,   15,    0, Hupsel
688,20000317,    2,    0, Hupsel
688,20000318,   15,    0, Hupsel
688,20000319,    5,    0, Hupsel
688,20000320,    0,    0, Hupsel
688,20000321,    0,    0, Hupsel
688,20000322,    0,    0, Hupsel
688,20000323,    0,    0, Hupsel
688,20000324,    0,    0, Hupsel
688,20000325,   78,    0, Hupsel
688,20000326,   50,    0, Hupsel
688,20000327,   26,    0, Hupsel
688,20000328,    0,    0, Hupsel
688,20000329,    9,    0, Hupsel
688,20000330,    0,    0, Hupsel
688,20000331,    1,    0, Hupsel
688,20000401,    0,    0, Hupsel
688,20000402,    4,    0, Hupsel
688,20000403,    0,    0, Hupsel
688,20000404,    1,    0, Hupsel
688,20000405,  115,    0, Hupsel
688,20000406,    0,    0, Hupsel
688,20000407,    0,    0, Hupsel
688,20000408,    0,    0, Hupsel
688,20000409,    0,    0, Hupsel
688,20000410,    0,    0, Hupsel
688,20000411,    0,    0, Hupsel
688,20000412,   19,    0, Hupsel
688,20000413,   32,    0, Hupsel
688,20000414,   58,    0, Hupsel
688,20000415,   23,    0, Hupsel
688,20000416,   11,    0, Hupsel
688,20000417,   19,    0, Hupsel
688,20000418,    2,    0, Hupsel
688,20000419,    0,    0, Hupsel
688,20000420,    0,    0, Hupsel
688,20000421,    0,    0, Hupsel
688,20000422,    0,    0, Hupsel
688,20000423,   65,    0, Hupsel
688,20000424,   18,    0, Hupsel
688,20000425,    0,    0, Hupsel
688,20000426,    0,    0, Hupsel
688,20000427,    0,    0, Hupsel
688,20000428,    0,    0, Hupsel
688,20000429,    0,    0, Hupsel
688,20000430,  177,    0, Hupsel
688,20000501,    2,    0, Hupsel
688,20000502,    5,    0, Hupsel
688,20000503,  192,    0, Hupsel
688,20000504,    0,    0, Hupsel
688,20000505,    0,    0, Hupsel
688,20000506,    0,    0, Hupsel
688,20000507,    0,    0, Hupsel
688,20000508,    0,    0, Hupsel
688,20000509,    0,    0, Hupsel
688,20000510,    0,    0, Hupsel
688,20000511,    0,    0, Hupsel
688,20000512,    0,    0, Hupsel
688,20000513,    0,    0, Hupsel
688,20000514,    0,    0, Hupsel
688,20000515,    0,    0, Hupsel
688,20000516,    0,    0, Hupsel
688,20000517,  177,    0, Hupsel
688,20000518,    0,    0, Hupsel
688,20000519,   30,    0, Hupsel
688,20000520,   53,    0, Hupsel
688,20000521,    8,    0, Hupsel
688,20000522,   93,    0, Hupsel
688,20000523,    0,    0, Hupsel
688,20000524,   63,    0, Hupsel
688,20000525,  112,    0, Hupsel
688,20000526,   16,    0, Hupsel
688,20000527,    6,    0, Hupsel
688,20000528,   44,    0, Hupsel
688,20000529,   73,    0, Hupsel
688,20000530,   87,    0, Hupsel
688,20000531,   36,    0, Hupsel
688,20000601,    0,    0, Hupsel
688,20000602,    0,    0, Hupsel
688,20000603,    0,    0, Hupsel
