date NO3
1988-01-04 4.46
1988-01-18 5.19
1988-02-01 4.46
1988-02-15 4.72
1988-02-29 5.2
1988-03-14 4.31
1988-03-28 3.71
1988-04-11 3.97
1988-04-25 3.81
1988-05-09 3.6
1988-05-23 4.05
1988-06-06 3.32
1988-06-20 3.22
1988-07-04 3.17
1988-07-18 3.57
1988-08-01 2.97
1988-08-15 3.09
1988-08-29 3.36
1988-09-12 3.52
1988-09-26 4.36
1988-10-10 3.79
1988-10-24 3.88
1988-11-07 5.43
1988-11-21 5.55
1988-12-05 5.73
1988-12-19 4.49
1989-01-02 4.91
1989-01-16 5.22
1989-01-30 5.5
1989-02-13 5.8
1989-02-27 4.68
1989-03-13 4.91
1989-03-27 5
1989-04-10 4.68
1989-04-24 4.6
1989-05-08 4.25
1989-05-22 3.77
1989-06-05 4.13
1989-06-19 4.26
1989-07-03 3.93
1989-07-17 3.45
1989-07-31 NA
1989-08-14 3.34
1989-08-28 3.65
1989-09-11 4.03
1989-09-25 4.85
1989-10-09 4.62
1989-10-23 5.3
1989-11-06 4.84
1989-11-20 5.1
1989-12-04 5.5
1989-12-18 5.2
1990-01-02 5.6
1990-01-29 5
1990-02-26 4.13
1990-03-26 4.65
1990-04-23 4.12
1990-06-18 3.25
1990-07-16 2.85
1990-08-13 3.61
1990-09-10 4.16
1990-10-08 4.32
1990-11-05 4.27
1990-12-03 4.67
1991-01-04 4
1991-01-28 4.71
1991-03-25 4.6
1991-04-22 4.13
2004-01-07 4.01
2004-01-21 4.4
2004-02-04 3.89
2004-02-18 4.07
2004-03-03 3.52
2004-03-17 3.35
2004-03-31 3.02
2004-04-14 2.9
2004-04-28 2.28
2004-05-12 2.76
2004-05-26 2.23
2004-06-09 1.71
2004-06-23 1.72
2004-07-07 1.95
2004-07-21 1.9
2004-08-04 1.65
2004-08-18 2.02
2004-09-01 2.13
2004-09-15 1.9
2004-09-29 2.82
2004-10-13 2.35
2004-10-27 2.33
2004-11-10 2.16
2004-11-24 3.48
2004-12-08 3.01
2004-12-22 3.76
2005-01-05 4.1
2005-01-19 4.7
2005-02-02 3.3
2005-02-16 3.8
2005-03-02 3
2005-03-16 4
2005-03-30 3
2005-04-13 2.7
2005-04-27 2.5
2005-05-11 2.73
2005-05-25 2.03
2005-06-08 2.11
2005-06-22 1.86
2005-07-06 2.22
2005-07-20 1.78
2005-08-03 2.04
2005-08-17 1.81
2005-08-31 1.44
2005-09-14 1.69
2005-09-28 2.02
2005-10-12 1.58
2005-10-26 2.56
2005-11-09 2.64
2005-11-22 2.92
2005-12-07 3.07
2005-12-21 3.53
2006-01-04 3.96
2006-01-18 4.1
2006-02-01 3.91
2006-02-15 4.17
2006-03-01 4.41
2006-03-15 3.46
2006-03-29 3.35
2006-04-12 2.65
2006-04-26 2.95
2006-05-10 2.43
2006-05-23 2
2006-06-07 2.38
2006-06-21 2.02
2006-07-05 1.66
2006-07-19 1.73
2006-08-02 2.14
2006-08-16 2.15
2006-08-30 2.14
2006-09-13 1.9
2006-09-27 2.08
2006-10-11 2.38
2006-10-25 2.57
2006-11-08 2.7
2006-11-22 3.13
2006-12-06 3.24
2006-12-20 4.38
2007-01-03 3.38
2007-01-17 3.01
2007-01-31 3.27
2007-02-14 4.01
2007-02-28 3.6
2007-03-14 3.12
2007-03-28 3.46
2007-04-11 2.7
2007-04-25 2.05
2007-05-09 2.22
2007-05-23 2.25
2007-06-06 2.68
2007-06-20 1.85
2007-07-04 1.95
2007-07-18 1.64
2007-08-01 1.99
2007-08-15 1.62
2007-08-29 1.86
2007-09-12 3.77
2007-09-26 2
2007-10-10 2.76
2007-10-24 2.81
2007-11-07 3.38
2007-11-21 3.34
2007-12-05 3.33
2007-12-19 2.81
2008-01-02 3.74
2008-01-16 2.91
2008-01-30 3.34
2008-02-13 3.31
2008-02-27 3.43
2008-03-12 3.45
2008-03-26 3.28
2008-04-09 3.02
2008-04-23 2.89
2008-05-07 2.3
2008-05-21 2.07
2008-06-04 2.48
2008-06-18 2.03
2008-07-02 1.63
2008-07-16 1.77
2008-07-30 1.68
2008-08-13 1.99
2008-08-27 1.7
2008-09-10 1.84
2008-09-24 1.71
2008-10-08 2.37
2008-10-22 2.18
2008-11-05 2.26
2008-11-19 2.39
2008-12-03 2.48
2008-12-17 2.93
2008-12-30 2.98
2009-01-14 2.99
2009-01-28 3.36
2009-02-11 3.58
2009-02-25 3.73
2009-03-11 3.38
2009-03-25 3.03
2009-04-08 2.55
2009-04-22 2.26
2009-05-06 2.12
2009-05-20 2.51
2009-06-03 1.8
2009-06-17 1.79
2009-07-01 1.55
2009-07-15 1.62
2009-07-29 1.5
2009-08-12 1.39
2009-08-26 1.53
2009-09-09 2.16
2009-09-23 1.98
2009-10-07 2.11
2009-10-21 2.32
2009-11-04 2.24
2009-11-18 2.41
2009-12-02 3.21
2009-12-16 3.65
2009-12-30 3.25
2010-01-13 2.99
2010-01-27 3.22
2010-02-10 3.82
2010-02-24 3.52
2010-03-10 3.3
2010-03-24 3.48
2010-04-07 2.81
2010-04-21 2.46
2010-05-06 2.15
2010-05-19 2.29
2010-06-02 2.2
2010-06-16 1.85
2010-06-30 1.57
2010-07-14 1.53
2010-07-28 2.04
2010-08-11 1.44
2010-08-25 1.63
2010-09-08 1.88
2010-09-22 1.87
2010-10-06 1.94
2010-10-20 2.16
2010-11-03 2.26
2010-11-17 3.41
2010-12-01 2.86
2010-12-15 3.15
2010-12-29 3.05
2011-01-12 3.9
2011-01-26 3.31
2011-02-09 3.43
2011-02-23 3.69
2011-03-09 3.84
2011-03-23 3.14
2011-04-06 3.04
2011-04-20 1.78
2011-05-03 1.24
2011-05-18 1.83
2011-05-31 1.2
2011-06-15 1.82
2011-06-29 1.49
2011-07-13 1.4
2011-07-27 1.78
2011-08-10 1.69
2011-08-24 1.98
2011-09-07 1.56
2011-09-21 1.87
2011-10-05 1.75
2011-10-19 1.72
2011-11-02 1.82
2011-11-16 2.49
2011-11-30 2.43
2011-12-14 2.65
2011-12-28 1.98
2012-01-11 3
2012-01-25 3.24
2012-02-08 3.01
2012-02-22 3.17
2012-03-07 3.28
2012-03-21 2.44
2012-04-04 2.16
2012-04-18 1.94
2012-05-02 2.11
2012-05-15 1.67
2012-05-30 1.38
2012-06-13 1.61
2012-06-27 1.46
2012-07-11 1.55
2012-07-25 1.56
2012-08-08 1.02
2012-08-22 1.5
2012-09-05 1.53
2012-09-19 1.61
2012-10-03 1.63
2012-10-17 1.78
2012-10-31 1.93
2012-11-14 2.49
2012-11-28 2.46
2012-12-12 2.74
2012-12-27 3.14
2013-01-09 3.07
2013-01-23 3.07
2013-02-06 3.29
2013-02-20 3.02
2013-03-06 3.39
2013-03-20 3
2013-04-03 3.08
2013-04-17 2.72
2013-05-01 2.46
2013-05-15 2.11
2013-05-29 2.43
2013-06-12 2.02
2013-06-26 1.94
2013-07-10 1.62
2013-07-24 1.33
2013-08-07 1.54
2013-08-21 1.65
2013-09-04 1.86
2013-09-18 2.25
2013-10-02 1.9
2013-10-16 2.37
2013-10-30 2.58
2013-11-13 2.84
2013-11-27 2.73
2013-12-11 2.89
2013-12-23 1.68
2014-01-08 2.98
2014-01-22 3.07
2014-02-05 3.16
2014-02-19 3
2014-03-05 3.02
2014-03-19 2.92
2014-04-02 2.6
2014-04-16 2.29
2014-04-30 2.26
2014-05-14 2.27
2014-05-27 1.34
2014-06-11 1.8
2014-06-25 1.61
2014-07-09 1.66
2014-07-23 1.68
2014-08-06 1.42
2014-08-20 1.63
2014-09-03 1.8
2014-09-17 1.95
2014-10-01 1.9
2014-10-15 2.19
2014-10-29 2.2
2014-11-12 2.42
2014-11-26 2.36
2014-12-10 2.62
2014-12-23 3.31
2015-01-07 3.21
2015-01-21 3.11
2015-02-04 3.15
2015-02-18 3.36
2015-03-04 3.37
2015-03-18 2.85
2015-04-01 2.62
2015-04-15 2.56
2015-04-29 2.01
2015-05-12 1.72
2015-05-27 1.61
2015-06-10 1.52
2015-06-24 1.74
2015-07-08 1.31
2015-07-22 1.51
2015-08-05 1.58
2015-08-19 1.83
2015-09-02 1.67
2015-09-16 1.94
2015-09-30 1.87
2015-10-14 1.96
2015-10-28 2.2
2015-11-11 2.35
2015-11-25 3.12
2015-12-09 3.21
2015-12-23 3.36
2016-01-06 3.44
2016-01-20 3.6
2016-02-03 3.99
2016-02-17 3.18
2016-03-02 2.93
2016-03-16 3.09
2016-03-30 3.14
2016-04-13 2.8
2016-04-28 2.42
2016-05-11 2.21
2016-05-25 2.05
2016-06-08 2.48
2016-06-22 1.93
2016-07-06 1.91
2016-07-20 1.85
2016-08-03 1.83
2016-08-17 1.66
2016-08-31 1.71
2016-09-14 1.8
2016-09-28 1.99
2016-10-12 2.35
2016-10-26 2.7
2016-11-09 2.85
2016-11-23 2.8
2016-12-07 3.13
2016-12-21 3.32
