"date" "Q1" "Q2" "Q3" "Q4"
19890101 1.052 1.076 0.334 0.884
19890201 0.984 0.967 0.307 0.801
19890301 0.93 0.891 0.275 0.746
19890401 0.88 0.884 0.254 0.733
19890501 0.838 0.844 0.244 0.951
19890601 0.805 1.083 0.244 2.699
19890701 0.819 1.532 0.579 1.894
19890801 0.846 1.507 0.501 1.633
19890901 0.894 1.166 0.398 1.576
19891001 0.94 1.188 0.319 1.652
19891101 0.964 1.253 0.302 1.488
19891201 0.951 1.076 0.272 1.283
19891301 0.925 1.232 0.259 1.41
19891401 0.901 1.123 0.314 1.16
19891501 0.859 1.054 0.267 0.969
19891601 0.826 0.862 0.236 0.881
19891701 0.801 0.877 0.216 0.781
19891801 0.773 0.887 0.209 0.689
19891901 0.741 0.855 0.199 0.643
19892001 0.717 0.739 0.185 0.62
19892101 0.699 0.75 0.172 0.655
19892201 0.671 0.804 0.163 0.65
19892301 0.647 0.797 0.154 0.554
19892401 0.64 0.786 0.149 0.532
19892501 0.634 0.735 0.134 0.511
19892601 0.623 0.623 0.128 0.436
19892701 0.608 0.681 0.135 0.398
19892801 0.589 0.648 0.138 0.404
19892901 0.566 0.638 0.147 0.408
19893001 0.55 0.59 0.145 0.424
19893101 0.54 0.511 0.148 0.42
19890102 0.529 0.5 0.154 0.451
19890202 0.512 0.427 0.15 0.398
19890302 0.501 0.467 0.144 0.376
19890402 0.501 0.529 0.141 0.377
19890502 0.496 0.572 0.136 0.638
19890602 0.494 0.558 0.123 0.671
19890702 0.487 0.485 0.101 0.562
19890802 0.48 0.482 0.1 0.473
19890902 0.477 0.478 0.096 0.432
19891002 0.471 0.424 0.091 0.445
19891102 0.466 0.493 0.086 0.567
19891202 0.46 0.493 0.088 0.656
19891302 0.453 0.485 0.16 0.789
19891402 0.477 0.518 0.111 1.138
19891502 0.468 0.456 0.118 1.186
19891602 0.478 0.63 0.11 2.105
19891702 0.498 0.685 0.29 1.306
19891802 0.532 0.695 0.456 2.109
19891902 0.57 1 1.308 2.732
19892002 0.612 1.319 0.52 5.884
19892102 0.713 1.268 1.066 2.444
19892202 0.768 1.09 4.069 1.684
19892302 0.767 1.032 1.399 1.655
19892402 0.773 1.192 0.764 1.403
19892502 0.84 1.34 0.557 1.319
19892602 0.892 1.616 0.548 1.13
19892702 0.895 1.793 0.392 1.065
19892802 0.925 2.021 0.39 1.643
19890103 0.982 2.09 0.413 1.896
19890203 1.024 2.336 0.504 2.886
19890303 1.118 2.815 1.929 4.083
19890403 1.254 3.101 6.3 2.296
19890503 1.362 2.869 2.103 1.688
19890603 1.383 2.347 1.233 1.357
19890703 1.333 1.949 0.892 1.228
19890803 1.25 2.652 0.802 2.818
19890903 1.166 3.104 0.877 1.729
19891003 1.083 2.398 0.684 1.229
19891103 1.036 1.92 0.554 0.912
19891203 0.99 1.695 0.452 0.834
19891303 0.935 1.431 0.402 0.886
19891403 0.887 1.297 1.619 0.832
19891503 0.842 1.203 0.627 1.159
19891603 0.807 1.387 2.488 1.276
19891703 0.812 2.119 1.467 4.131
19891803 0.878 2.155 1.422 2.162
19891903 1.013 1.981 1.951 1.486
19892003 1.079 1.579 1.157 1.165
19892103 1.066 1.5 0.832 1.034
19892203 1.026 1.326 0.65 1.059
19892303 0.983 1.25 0.54 1.394
19892403 0.94 1.163 0.756 4.484
19892503 0.928 1.442 0.557 4.077
19892603 0.933 1.543 0.464 1.94
19892703 0.936 1.246 0.401 1.408
19892803 0.917 1.152 0.353 1.035
19892903 0.875 1.061 0.311 0.741
19893003 0.819 0.956 0.298 0.652
19893103 0.767 0.768 0.257 0.567
19890104 0.735 0.869 0.239 0.515
19890204 0.701 0.895 0.466 0.437
19890304 0.68 0.826 0.728 0.358
19890404 0.686 0.913 0.436 0.326
19890504 0.794 1.087 0.351 0.326
19890604 1.05 1.637 0.458 0.414
19890704 1.043 2.507 0.381 1.271
19890804 1.043 2.369 0.309 0.897
19890904 1.042 2.021 2.398 0.688
19891004 1.012 1.684 0.594 0.63
19891104 0.977 1.496 0.413 0.603
19891204 0.954 1.63 0.349 0.981
19891304 0.933 2.184 0.303 2.087
19891404 0.938 2.876 0.306 2.055
19891504 1.017 3.347 1.702 1.317
19891604 1.138 2.883 0.583 1.041
19891704 1.221 2.402 0.502 0.798
19891804 1.233 2.058 4.145 0.606
19891904 1.177 1.76 1.308 0.662
19892004 1.146 1.797 1.127 0.622
19892104 1.217 1.978 1.566 0.516
