Time [yyyy-MM-dd HH:mm:ss],CN_564: Water depth ... [m]
1995-02-14 00:00:00,1_11
1995-02-14 00:10:00,1_11068556331
1995-02-14 00:20:00,1_11419160058
1995-02-14 00:30:00,1_11780264246
1995-02-14 00:40:00,1_12139308341
1995-02-14 00:50:00,1_12498986893
1995-02-14 01:00:00,1_12837274273
1995-02-14 01:10:00,1_13151586031
1995-02-14 01:20:00,1_1353096548
1995-02-14 01:30:00,1_13875021058
1995-02-14 01:40:00,1_14213155606
1995-02-14 01:50:00,1_14584526566
1995-02-14 02:00:00,1_14920275195
1995-02-14 02:10:00,1_15233577396
1995-02-14 02:20:00,1_15544147737
1995-02-14 02:30:00,1_15854152734
1995-02-14 02:40:00,1_16163699284
1995-02-14 02:50:00,1_16457670398
1995-02-14 03:00:00,1_16749631249
1995-02-14 03:10:00,1_17034004666
1995-02-14 03:20:00,1_17303008098
1995-02-14 03:30:00,1_17876128039
1995-02-14 03:40:00,1_18231159934
1995-02-14 03:50:00,1_18651406459
1995-02-14 04:00:00,1_19128602403
1995-02-14 04:10:00,1_19585964251
1995-02-14 04:20:00,1_20004757574
1995-02-14 04:30:00,1_20436719393
1995-02-14 04:40:00,1_20884965151
1995-02-14 04:50:00,1_21299193561
1995-02-14 05:00:00,1_21681613419
1995-02-14 05:10:00,1_22461823219
1995-02-14 05:20:00,1_23341300149
1995-02-14 05:30:00,1_24111260284
1995-02-14 05:40:00,1_25070462596
1995-02-14 05:50:00,1_26153158381
1995-02-14 06:00:00,1_27426394641
1995-02-14 06:10:00,1_28789413526
1995-02-14 06:20:00,1_30328980835
1995-02-14 06:30:00,1_32275967744
1995-02-14 06:40:00,1_3439360993
1995-02-14 06:50:00,1_36740576581
1995-02-14 07:00:00,1_39342150606
1995-02-14 07:10:00,1_41968776745
1995-02-14 07:20:00,1_44889040565
1995-02-14 07:30:00,1_4821114009
1995-02-14 07:40:00,1_51369322565
1995-02-14 07:50:00,1_54696697053
1995-02-14 08:00:00,1_58048236725
1995-02-14 08:10:00,1_6113991443
1995-02-14 08:20:00,1_64051190676
1995-02-14 08:30:00,1_66894474124
1995-02-14 08:40:00,1_69487464237
1995-02-14 08:50:00,1_71831830263
1995-02-14 09:00:00,1_73983926137
1995-02-14 09:10:00,1_75874013385
1995-02-14 09:20:00,1_77501068951
1995-02-14 09:30:00,1_78919373807
1995-02-14 09:40:00,1_80033129196
1995-02-14 09:50:00,1_80907130639
1995-02-14 10:00:00,1_81523565731
1995-02-14 10:10:00,1_81931901039
1995-02-14 10:20:00,1_82141255307
1995-02-14 10:30:00,1_82190370053
1995-02-14 10:40:00,1_8209512173
1995-02-14 10:50:00,1_81854388151
1995-02-14 11:00:00,1_81484990426
1995-02-14 11:10:00,1_81003408519
1995-02-14 11:20:00,1_80385346325
1995-02-14 11:30:00,1_7964827378
1995-02-14 11:40:00,1_78868957184
1995-02-14 11:50:00,1_78033157861
1995-02-14 12:00:00,1_7715102755
1995-02-14 12:10:00,1_76255978151
1995-02-14 12:20:00,1_75352703857
1995-02-14 12:30:00,1_74418232661
1995-02-14 12:40:00,1_73467570247
1995-02-14 12:50:00,1_72523338452
1995-02-14 13:00:00,1_71597068146
1995-02-14 13:10:00,1_70676636175
1995-02-14 13:20:00,1_69764914636
1995-02-14 13:30:00,1_68866070179
