"date" "sc1" "sc2" "sc3"
20110101 750 750 750
20110106 758.0623 758.1678 758.1678
20110112 720.3412 720.4996 720.4996
20110118 654.1587 654.3487 654.3487
20110124 643.8756 644.1347 644.1347
20110130 661.7956 662.1545 662.1545
20110205 683.9074 684.3727 684.3727
20110211 707.7408 708.2925 708.2925
20110217 663.5846 664.0153 664.0153
20110223 675.7412 676.1116 676.1116
20110301 688.9067 689.2284 689.2284
20110307 716.7739 717.0489 717.0489
20110313 765.9727 766.3017 766.3017
20110319 804.4869 804.9912 804.9912
20110325 860.2421 860.9227 860.9227
20110331 918.4286 919.2653 919.2653
20110406 885.5677 887.1563 887.1563
20110412 926.7093 929.2193 931.0611
20110418 946.7681 949.463 954.0389
20110424 1021.5411 1024.9894 1033.1415
20110430 1077.622 1083.264 1096.471
20110506 1121.2 1130.843 1150.049
20110512 1190.814 1203.597 1231.635
20110518 1187.385 1206.872 1242.724
20110524 1197.245 1219.036 1268.678
20110530 1257.999 1282.667 1345.062
20110605 1337.594 1369.823 1440.956
20110610 1352.465 1386.308 1468.149
20110616 1351.909 1386.133 1483.849
20110622 1240.225 1276.842 1393.904
20110628 1156.56 1194.347 1331.851
20110704 1040.476 1075.982 1233.142
20110709 1108.696 1142.993 1312.7224
20110715 1077.539 1112.338 1279.669
20110721 889.5708 925.6564 1096.961
20110727 866.4035 896.4348 1065.787
20110802 839.7679 863.2612 1024.166
20110808 724.4829 737.4271 834.9465
20110814 677.7704 684.6886 738.7678
20110820 696.945 701.4838 736.6196
20110826 752.6748 756.0776 781.2789
20110901 756.5315 759.0597 776.5833
20110906 814.1141 816.3783 831.2786
20110912 721.2101 722.5513 731.0511
20110918 748.2389 749.2397 755.5133
20110924 780.6262 781.4041 786.2783
20110930 857.4606 858.1402 862.395
20111005 925.3536 909.8628 929.9778
20111011 850.9626 836.7078 854.8391
20111017 769.3969 759.3031 772.5147
20111023 753.0487 745.4215 755.7394
20111029 778.2825 771.864 780.7652
20111104 807.0356 801.6031 809.5454
20111110 832.2761 827.6748 834.9049
20111116 856.9431 853.0298 859.7482
20111122 880.885 877.5078 883.785
20111128 875.2975 872.4314 878.1094
20111204 816.592 814.4663 819.0083
20111210 714.4215 713.1625 716.2059
20111216 659.1761 658.5123 660.622
20111222 617.2124 616.9097 618.3266
20111228 611.536 611.4365 612.5085
