"HUC_02" "GAGE_ID" "LAT" "LONG" "DRAINAGE_AREA_.KM.2."
11 7299670 34.35452 -99.74037 828.36
11 7301410 35.4731 -100.12095 769.67
11 7315200 33.81288 -98.08504 501.62
11 7346045 32.77792 -94.35742 959.89
12 8029500 30.81889 -93.78556 333.4
12 8050800 33.55455 -96.94723 100.93
12 8066200 30.71631 -94.95882 364.12
12 8066300 30.48139 -94.77972 383.57
12 8070000 30.3366 -95.1041 841.06
12 8070200 30.14549 -95.12438 989.37
12 8079600 33.03843 -101.19763 3348.95
12 8082700 33.32927 -99.46508 276.04
12 8086212 32.7329 -99.14063 1584.82
12 8086290 32.64846 -99.00451 732.98
12 8101000 31.28489 -97.88502 1177.1
12 8103900 30.91157 -98.03697 86
12 8104900 30.62575 -97.69112 342.62
12 8109700 30.33938 -96.9047 610.13
12 8150800 30.64352 -99.09588 557.52
12 8155200 30.29632 -97.92557 232.74
12 8158700 30.08299 -98.00779 320.34
12 8158810 30.15549 -97.94001 31.79
12 8164000 28.95998 -96.68637 2124
12 8164300 29.46691 -96.81276 861.54
12 8164600 28.89138 -96.81915 253.92
12 8165300 30.0641 -99.38699 435.99
12 8171300 29.97938 -97.91 1067.47
12 8175000 29.21525 -97.44943 1421.66
12 8176900 28.86165 -97.22638 925.44
12 8178880 29.72384 -99.07004 850.58
12 8189500 28.29195 -97.27916 1808.29
12 8190000 29.42857 -99.99729 1961.43
12 8190500 29.47273 -100.23646 1799.09
12 8194200 27.96501 -98.96697 1220.58
12 8195000 29.48857 -99.70478 1028.29
12 8196000 29.50468 -99.78145 326.98
12 8198500 29.31431 -99.48047 624.35
12 8200000 29.56967 -99.24671 249.11
12 8202700 29.37079 -99.28782 434.75
