"date" "Q" "BF"
19760101 0.054 NA
19760102 0.162 NA
19760103 0.22 NA
19760104 0.136 NA
19760105 0.18 NA
19760106 0.253 NA
19760107 0.138 NA
19760108 0.096 NA
19760109 0.077 NA
19760110 0.172 NA
19760111 0.241 NA
19760112 0.153 NA
19760113 0.175 NA
19760114 0.155 NA
19760115 0.132 NA
19760116 0.214 NA
19760117 0.13 NA
19760118 0.094 NA
19760119 0.078 0.078
19760120 0.2 0.075
19760121 0.181 0.071
19760122 0.172 0.068
19760123 0.214 0.065
19760124 0.208 0.061
19760125 0.149 0.058
19760126 0.108 0.054
19760127 0.094 0.051
19760128 0.07 0.048
19760129 0.052 0.044
19760130 0.043 0.041
19760131 0.037 0.037
19760201 0.034 0.034
19760202 0.031 0.031
19760203 0.036 0.031
19760204 0.039 0.031
19760205 0.041 0.032
19760206 0.042 0.032
19760207 0.032 0.032
19760208 0.039 0.031
19760209 0.124 0.031
19760210 0.23 0.03
19760211 0.189 0.03
19760212 0.177 0.029
19760213 0.395 0.029
19760214 0.164 0.028
19760215 0.094 0.028
19760216 0.071 0.027
19760217 0.07 0.027
19760218 0.063 0.026
19760219 0.052 0.026
19760220 0.046 0.025
19760221 0.043 0.024
19760222 0.039 0.024
19760223 0.033 0.023
19760224 0.034 0.023
19760225 0.035 0.022
19760226 0.031 0.022
19760227 0.03 0.021
19760228 0.03 0.021
19760229 0.027 0.02
19760301 0.047 0.02
19760302 0.036 0.019
19760303 0.029 0.018
19760304 0.024 0.018
19760305 0.022 0.017
19760306 0.02 0.017
19760307 0.018 0.016
19760308 0.016 0.016
19760309 0.015 0.015
19760310 0.016 0.015
19760311 0.02 0.014
19760312 0.019 0.014
19760313 0.017 0.013
19760314 0.013 0.013
19760315 0.012 0.012
19760316 0.012 0.012
19760317 0.011 0.011
19760318 0.013 0.01
19760319 0.012 0.01
19760320 0.011 0.01
19760321 0.009 0.009
19760322 0.01 0.009
19760323 0.01 0.009
19760324 0.009 0.009
19760325 0.019 0.008
19760326 0.061 0.008
19760327 0.065 0.008
19760328 0.052 0.008
19760329 0.044 0.008
19760330 0.04 0.008
19760331 0.031 0.008
19760401 0.025 0.007
19760402 0.022 0.007
19760403 0.026 0.007
19760404 0.024 0.007
19760405 0.023 0.007
19760406 0.02 0.007
19760407 0.017 0.007
19760408 0.014 0.006
19760409 0.012 0.006
19760410 0.011 0.006
19760411 0.012 0.006
19760412 0.01 0.006
19760413 0.009 0.006
19760414 0.01 0.006
19760415 0.008 0.006
19760416 0.007 0.005
19760417 0.008 0.005
19760418 0.008 0.005
19760419 0.008 0.005
19760420 0.006 0.005
19760421 0.006 0.005
19760422 0.006 0.005
19760423 0.005 0.004
19760424 0.005 0.004
19760425 0.005 0.004
19760426 0.004 0.004
19760427 0.005 0.004
19760428 0.005 0.004
19760429 0.004 0.004
19760430 0.004 0.004
19760501 0.005 0.004
19760502 0.005 0.004
19760503 0.006 0.004
19760504 0.008 0.004
19760505 0.005 0.004
19760506 0.005 0.004
19760507 0.006 0.004
19760508 0.006 0.004
19760509 0.004 0.004
19760510 0.005 0.004
19760511 0.004 0.004
19760512 0.004 0.004
19760513 0.004 0.004
19760514 0.008 0.003
19760515 0.004 0.003
19760516 0.004 0.003
19760517 0.003 0.003
19760518 0.003 0.003
19760519 0.003 0.003
19760520 0.004 0.003
19760521 0.004 0.003
19760522 0.004 0.003
19760523 0.003 0.003
19760524 0.003 0.003
19760525 0.003 0.003
19760526 0.003 0.003
19760527 0.003 0.003
19760528 0.004 0.003
19760529 0.004 0.003
19760530 0.004 0.003
19760531 0.004 0.003
19760601 0.004 0.003
19760602 0.003 0.003
19760603 0.003 0.003
19760604 0.003 0.003
19760605 0.003 0.003
19760606 0.003 0.003
19760607 0.003 0.002
19760608 0.003 0.002
19760609 0.003 0.002
19760610 0.003 0.002
19760611 0.003 0.002
19760612 0.002 0.002
19760613 0.002 0.002
19760614 0.002 0.002
19760615 0.002 0.002
19760616 0.002 0.002
19760617 0.002 0.002
19760618 0.002 0.002
19760619 0.002 0.002
19760620 0.003 0.002
19760621 0.003 0.002
19760622 0.002 0.002
19760623 0.002 0.002
19760624 0.002 0.002
19760625 0.002 0.001
19760626 0.002 0.001
19760627 0.003 0.001
19760628 0.003 0.001
19760629 0.003 0.001
19760630 0.001 0.001
19760701 0.001 0.001
19760702 0.001 0.001
19760703 0.001 0.001
19760704 0.001 0.001
19760705 0.001 0
19760706 0.001 0
19760707 0.001 0
19760708 0.001 0
19760709 0 0
19760710 0 0
19760711 0.001 0
19760712 0 0
19760713 0.002 0
19760714 0.003 0
19760715 0.002 0
19760716 0.001 0
19760717 0.001 0
19760718 0.001 0
19760719 0.001 0
19760720 0.001 0
19760721 0.001 0
19760722 0.002 0
19760723 0.001 0
19760724 0.001 0
19760725 0.001 0
19760726 0.001 0
19760727 0 0
19760728 0 0
19760729 0 0
19760730 0 0
19760731 0 0
19760801 0 0
19760802 0 0
19760803 0 0
19760804 0 0
19760805 0 0
19760806 0 0
19760807 0 0
19760808 0 0
19760809 0 0
19760810 0 0
